Treatment,Height (mm),Diameter (mm)
Control,15,64
Control,18,60
Control,19,50
Control,18,45
Control,18,63
Control,18,62
Control,15,61
Control,15,59
Control,16,54
Control,17,71
Control,15,59
Control,17,56
Control,18,69
Control,16,69
Control,17,62
Control,16,63
Control,17,62
Control,16,64
Control,18,60
Control,17,58
Baking Soda,12,71
Baking Soda,14,71
Baking Soda,15,70
Baking Soda,13,69
Baking Soda,15,67
Baking Soda,14,65
Baking Soda,14,67
Baking Soda,13,65
Baking Soda,13,68
Baking Soda,16,64
Baking Soda,15,60
Baking Soda,14,64
Baking Soda,13,60
Baking Soda,14,70
Baking Soda,13,67
Baking Soda,14,68
Baking Soda,14,68
Baking Soda,12,69
Baking Soda,14,65
Baking Soda,15,66
Baking Powder,18,55
Baking Powder,17,61
Baking Powder,17,58
Baking Powder,18,58
Baking Powder,17,62
Baking Powder,18,58
Baking Powder,16,60
Baking Powder,16,62
Baking Powder,17,67
Baking Powder,19,56
Baking Powder,15,68
Baking Powder,17,64
Baking Powder,19,58
Baking Powder,16,60
Baking Powder,18,57
Baking Powder,17,50
Baking Powder,20,50
Baking Powder,16,70
Baking Powder,16,60
Baking Powder,18,58
Baking Powder,18,59
